Time,Values
2022-07-23 20:30:00,109.4
2022-07-23 21:00:00,112.2
2022-07-23 21:30:00,106.0
2022-07-23 22:00:00,102.2
2022-07-23 22:30:00,95.8
2022-07-23 23:00:00,104.8
2022-07-23 23:30:00,101.4
2022-07-24 00:00:00,85.0
2022-07-24 00:30:00,65.4
2022-07-24 01:00:00,59.4
2022-07-24 01:30:00,50.6
2022-07-24 02:00:00,46.6
2022-07-24 02:30:00,42.2
2022-07-24 03:00:00,42.0
2022-07-24 03:30:00,37.8
2022-07-24 04:00:00,30.6
2022-07-24 04:30:00,31.6
2022-07-24 05:00:00,36.8
2022-07-24 05:30:00,31.2
2022-07-24 06:00:00,32.2
2022-07-24 06:30:00,39.4
2022-07-24 07:00:00,47.6
2022-07-24 07:30:00,59.8
2022-07-24 08:00:00,70.4
2022-07-24 08:30:00,82.2
2022-07-24 09:00:00,92.8
2022-07-24 09:30:00,95.0
2022-07-24 10:00:00,103.0
2022-07-24 10:30:00,109.4
2022-07-24 11:00:00,111.6
2022-07-24 11:30:00,103.4
2022-07-24 12:00:00,106.6
2022-07-24 12:30:00,100.8
2022-07-24 13:00:00,95.0
2022-07-24 13:30:00,94.0
2022-07-24 14:00:00,95.8
2022-07-24 14:30:00,87.4
2022-07-24 15:00:00,86.6
2022-07-24 15:30:00,87.6
2022-07-24 16:00:00,77.6
2022-07-24 16:30:00,71.8
2022-07-24 17:00:00,76.2
2022-07-24 17:30:00,79.8
2022-07-24 18:00:00,83.0
2022-07-24 18:30:00,85.2
2022-07-24 19:00:00,83.4
2022-07-24 19:30:00,88.2
2022-07-24 20:00:00,98.8
2022-07-24 20:30:00,103.6
2022-07-24 21:00:00,105.8
2022-07-24 21:30:00,97.2
2022-07-24 22:00:00,92.8
2022-07-24 22:30:00,88.0
2022-07-24 23:00:00,84.6
2022-07-24 23:30:00,76.8
2022-07-25 00:00:00,59.6
2022-07-25 00:30:00,51.8
2022-07-25 01:00:00,42.8
2022-07-25 01:30:00,37.8
2022-07-25 02:00:00,35.0
2022-07-25 02:30:00,34.8
2022-07-25 03:00:00,32.4
2022-07-25 03:30:00,28.6
2022-07-25 04:00:00,30.0
2022-07-25 04:30:00,33.0
2022-07-25 05:00:00,31.4
2022-07-25 05:30:00,35.4
2022-07-25 06:00:00,42.0
2022-07-25 06:30:00,62.6
2022-07-25 07:00:00,75.4
2022-07-25 07:30:00,95.4
2022-07-25 08:00:00,103.8
2022-07-25 08:30:00,116.6
2022-07-25 09:00:00,125.2
2022-07-25 09:30:00,128.4
2022-07-25 10:00:00,120.6
2022-07-25 10:30:00,127.0
2022-07-25 11:00:00,120.0
2022-07-25 11:30:00,117.4
2022-07-25 12:00:00,115.6
2022-07-25 12:30:00,127.4
2022-07-25 13:00:00,128.6
2022-07-25 13:30:00,122.0
2022-07-25 14:00:00,122.8
2022-07-25 14:30:00,124.0
2022-07-25 15:00:00,124.0
2022-07-25 15:30:00,113.8
2022-07-25 16:00:00,86.2
2022-07-25 16:30:00,79.4
2022-07-25 17:00:00,82.6
2022-07-25 17:30:00,85.6
2022-07-25 18:00:00,82.2
2022-07-25 18:30:00,89.4
2022-07-25 19:00:00,92.4
2022-07-25 19:30:00,97.4
2022-07-25 20:00:00,92.0
2022-07-25 20:30:00,96.8
2022-07-25 21:00:00,97.6
2022-07-25 21:30:00,95.6
2022-07-25 22:00:00,88.0
2022-07-25 22:30:00,84.0
2022-07-25 23:00:00,77.0
2022-07-25 23:30:00,67.4
2022-07-26 00:00:00,55.0
2022-07-26 00:30:00,46.8
2022-07-26 01:00:00,36.6
2022-07-26 01:30:00,31.0
2022-07-26 02:00:00,26.6
2022-07-26 02:30:00,25.6
2022-07-26 03:00:00,21.8
2022-07-26 03:30:00,20.8
2022-07-26 04:00:00,19.6
2022-07-26 04:30:00,26.4
2022-07-26 05:00:00,28.6
2022-07-26 05:30:00,27.6
2022-07-26 06:00:00,31.4
2022-07-26 06:30:00,47.8
2022-07-26 07:00:00,68.2
2022-07-26 07:30:00,83.0
2022-07-26 08:00:00,90.4
2022-07-26 08:30:00,103.4
2022-07-26 09:00:00,111.4
2022-07-26 09:30:00,111.4
2022-07-26 10:00:00,109.6
2022-07-26 10:30:00,112.0
2022-07-26 11:00:00,111.0
2022-07-26 11:30:00,99.2
2022-07-26 12:00:00,102.4
2022-07-26 12:30:00,105.4
2022-07-26 13:00:00,100.4
2022-07-26 13:30:00,102.4
2022-07-26 14:00:00,100.8
2022-07-26 14:30:00,101.0
2022-07-26 15:00:00,102.0
2022-07-26 15:30:00,106.6
2022-07-26 16:00:00,100.6
2022-07-26 16:30:00,97.0
2022-07-26 17:00:00,97.4
2022-07-26 17:30:00,87.0
2022-07-26 18:00:00,91.8
2022-07-26 18:30:00,95.0
2022-07-26 19:00:00,98.6
2022-07-26 19:30:00,105.2
2022-07-26 20:00:00,105.2
2022-07-26 20:30:00,101.4
2022-07-26 21:00:00,103.6
2022-07-26 21:30:00,95.8
2022-07-26 22:00:00,91.4
2022-07-26 22:30:00,84.0
2022-07-26 23:00:00,77.6
2022-07-26 23:30:00,64.8
2022-07-27 00:00:00,51.2
2022-07-27 00:30:00,42.4
2022-07-27 01:00:00,35.0
2022-07-27 01:30:00,28.4
2022-07-27 02:00:00,29.0
2022-07-27 02:30:00,28.6
2022-07-27 03:00:00,22.6
2022-07-27 03:30:00,22.0
2022-07-27 04:00:00,21.0
2022-07-27 04:30:00,26.4
2022-07-27 05:00:00,25.8
2022-07-27 05:30:00,25.8
2022-07-27 06:00:00,37.0
2022-07-27 06:30:00,52.6
2022-07-27 07:00:00,65.0
2022-07-27 07:30:00,86.6
2022-07-27 08:00:00,94.0
2022-07-27 08:30:00,97.0
2022-07-27 09:00:00,102.0
2022-07-27 09:30:00,112.8
2022-07-27 10:00:00,108.6
2022-07-27 10:30:00,113.6
2022-07-27 11:00:00,119.2
2022-07-27 11:30:00,111.0
2022-07-27 12:00:00,109.4
2022-07-27 12:30:00,105.2
2022-07-27 13:00:00,112.0
2022-07-27 13:30:00,104.6
2022-07-27 14:00:00,102.0
2022-07-27 14:30:00,98.4
2022-07-27 15:00:00,98.2
2022-07-27 15:30:00,105.4
2022-07-27 16:00:00,91.8
2022-07-27 16:30:00,91.6
2022-07-27 17:00:00,88.2
2022-07-27 17:30:00,85.2
2022-07-27 18:00:00,81.4
2022-07-27 18:30:00,100.2
2022-07-27 19:00:00,95.2
2022-07-27 19:30:00,101.6
2022-07-27 20:00:00,98.8
2022-07-27 20:30:00,96.0
2022-07-27 21:00:00,100.0
2022-07-27 21:30:00,92.0
2022-07-27 22:00:00,85.8
2022-07-27 22:30:00,80.6
2022-07-27 23:00:00,77.6
2022-07-27 23:30:00,65.2
2022-07-28 00:00:00,54.4
2022-07-28 00:30:00,47.6
2022-07-28 01:00:00,37.4
2022-07-28 01:30:00,30.6
2022-07-28 02:00:00,26.8
2022-07-28 02:30:00,25.4
2022-07-28 03:00:00,26.4
2022-07-28 03:30:00,29.6
2022-07-28 04:00:00,23.8
2022-07-28 04:30:00,26.4
2022-07-28 05:00:00,26.6
2022-07-28 05:30:00,27.8
2022-07-28 06:00:00,35.2
2022-07-28 06:30:00,55.8
2022-07-28 07:00:00,71.8
2022-07-28 07:30:00,87.8
2022-07-28 08:00:00,96.4
2022-07-28 08:30:00,97.6
2022-07-28 09:00:00,115.6
2022-07-28 09:30:00,116.6
2022-07-28 10:00:00,120.4
2022-07-28 10:30:00,117.0
2022-07-28 11:00:00,115.8
2022-07-28 11:30:00,106.4
2022-07-28 12:00:00,110.4
2022-07-28 12:30:00,101.2
2022-07-28 13:00:00,105.8
2022-07-28 13:30:00,102.4
2022-07-28 14:00:00,101.6
2022-07-28 14:30:00,98.4
2022-07-28 15:00:00,103.0
2022-07-28 15:30:00,95.4
2022-07-28 16:00:00,82.8
2022-07-28 16:30:00,82.0
2022-07-28 17:00:00,78.0
2022-07-28 17:30:00,83.2
2022-07-28 18:00:00,81.6
2022-07-28 18:30:00,93.6
2022-07-28 19:00:00,96.2
2022-07-28 19:30:00,104.4
2022-07-28 20:00:00,100.8
2022-07-28 20:30:00,95.2
2022-07-28 21:00:00,99.8
2022-07-28 21:30:00,96.0
2022-07-28 22:00:00,92.2
2022-07-28 22:30:00,90.6
2022-07-28 23:00:00,85.2
2022-07-28 23:30:00,71.6
2022-07-29 00:00:00,55.2
2022-07-29 00:30:00,48.0
2022-07-29 01:00:00,38.6
2022-07-29 01:30:00,34.2
2022-07-29 02:00:00,28.8
2022-07-29 02:30:00,29.0
2022-07-29 03:00:00,25.4
2022-07-29 03:30:00,24.2
2022-07-29 04:00:00,21.6
2022-07-29 04:30:00,28.4
2022-07-29 05:00:00,28.2
2022-07-29 05:30:00,27.6
2022-07-29 06:00:00,34.4
2022-07-29 06:30:00,44.8
2022-07-29 07:00:00,64.4
2022-07-29 07:30:00,79.2
2022-07-29 08:00:00,87.2
2022-07-29 08:30:00,92.2
2022-07-29 09:00:00,103.8
2022-07-29 09:30:00,113.6
2022-07-29 10:00:00,111.2
2022-07-29 10:30:00,119.2
2022-07-29 11:00:00,119.2
2022-07-29 11:30:00,108.2
2022-07-29 12:00:00,105.2
2022-07-29 12:30:00,110.2
2022-07-29 13:00:00,109.0
2022-07-29 13:30:00,105.6
