#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T14:30:00Z,11740.971377777776,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T15:00:00Z,11475.035741379312,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T15:30:00Z,11208.711927272727,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T16:00:00Z,10634.003847457629,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T16:30:00Z,10102.224169491525,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T17:00:00Z,7685.703887931035,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T17:30:00Z,7081.367801886792,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T18:00:00Z,7188.875707547171,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T18:30:00Z,6926.897116071428,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T19:00:00Z,7582.967868421056,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T19:30:00Z,7213.541517857142,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T20:00:00Z,7135.609407407406,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T20:30:00Z,7208.333296610169,value,rambla_flow
,,0,2022-10-23T14:06:05.4424392Z,2022-11-22T14:06:05.4424392Z,2022-10-23T21:00:00Z,7777.412157894738,value,rambla_flow
